ID,Longitude,Latitude,LocalX,LocalY
187,100.417694,29.502560,40.501644,-55.066952
188,100.428009,29.502487,41.501854,-55.071312
189,100.438324,29.502415,42.502071,-55.075584
190,100.448639,29.502342,43.502281,-55.079769
191,100.458946,29.502268,44.501759,-55.084076
192,100.469261,29.502193,45.501976,-55.088287
193,100.479576,29.502119,46.502193,-55.092415
194,100.489883,29.502041,47.501675,-55.096878
195,100.500198,29.501965,48.501900,-55.101036
196,99.499817,29.514748,-48.494293,-53.684113
197,99.510132,29.514746,-47.494236,-53.688625
198,99.520447,29.514746,-46.494175,-53.692837
199,99.530762,29.514744,-45.494118,-53.697163
200,99.541077,29.514740,-44.494057,-53.701618
201,99.551392,29.514736,-43.493999,-53.705982
202,99.561707,29.514732,-42.493938,-53.710258
203,99.572021,29.514727,-41.493877,-53.714653
204,99.582336,29.514721,-40.493820,-53.718956
205,99.592651,29.514715,-39.493763,-53.723175
206,99.602966,29.514708,-38.493698,-53.727512
207,99.613281,29.514698,-37.493641,-53.731972
208,99.623589,29.514690,-36.494320,-53.736134
209,99.633904,29.514679,-35.494259,-53.740623
210,99.644218,29.514669,-34.494198,-53.744816
211,99.654533,29.514658,-33.494137,-53.749130
212,99.664848,29.514645,-32.494076,-53.753563
213,99.675163,29.514631,-31.494015,-53.757912
214,99.685478,29.514618,-30.493954,-53.762169
215,99.695793,29.514603,-29.493893,-53.766544
216,99.706108,29.514587,-28.493830,-53.770832
217,99.716423,29.514570,-27.493767,-53.775242
218,99.726738,29.514553,-26.493706,-53.779564
219,99.737053,29.514536,-25.493641,-53.783798
220,99.747368,29.514517,-24.493578,-53.788147
221,99.757675,29.514498,-23.494253,-53.792412
222,99.767990,29.514477,-22.494190,-53.796799
223,99.778305,29.514456,-21.494125,-53.801090
224,99.788620,29.514435,-20.494059,-53.805298
225,99.798935,29.514412,-19.493994,-53.809624
226,99.809250,29.514387,-18.493927,-53.814075
227,99.819565,29.514362,-17.493862,-53.818432
228,99.829880,29.514338,-16.493795,-53.822708
229,99.840195,29.514313,-15.493727,-53.826885
230,99.850510,29.514286,-14.493658,-53.831192
231,99.860825,29.514257,-13.493589,-53.835613
232,99.871132,29.514229,-12.494261,-53.839951
233,99.881447,29.514200,-11.494190,-53.844196
