Site_ID,Period,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
109,0.000000,0.133938,0.090055,0.098187,0.122927,0.106622,0.051142,0.143743,0.250127,0.113741,0.064001
110,0.000000,0.054864,0.068635,0.099518,0.100800,0.109291,0.042206,0.239755,0.195306,0.175467,0.042613
111,0.000000,0.085348,0.084307,0.069839,0.126928,0.078312,0.055943,0.206339,0.154131,0.179053,0.052027
112,0.000000,0.078143,0.075014,0.069653,0.094988,0.142482,0.051190,0.152056,0.182007,0.167102,0.045265
113,0.000000,0.066960,0.066126,0.049670,0.115715,0.100419,0.107412,0.218601,0.158939,0.210158,0.038255
114,0.000000,0.073280,0.101585,0.082825,0.083089,0.128417,0.121025,0.074461,0.095421,0.256364,0.044205
115,0.000000,0.098820,0.079621,0.078737,0.083742,0.077747,0.193957,0.204338,0.111119,0.275057,0.035131
116,0.000000,0.104880,0.072183,0.117517,0.089542,0.160758,0.128084,0.130990,0.079892,0.150351,0.030155
117,0.000000,0.085027,0.066988,0.140931,0.039029,0.143328,0.066511,0.273985,0.070192,0.111321,0.040477
118,0.000000,0.155112,0.124721,0.170335,0.052742,0.161536,0.093989,0.120786,0.075575,0.065686,0.051973
119,0.000000,0.209477,0.101999,0.123468,0.049124,0.171705,0.059850,0.161684,0.138826,0.099280,0.026072
120,0.000000,0.095666,0.165017,0.088058,0.099791,0.122973,0.071896,0.229302,0.109256,0.108994,0.031600
121,0.000000,0.089672,0.092318,0.114529,0.057742,0.120270,0.078129,0.104481,0.128371,0.066977,0.040701
122,0.000000,0.100398,0.106741,0.100708,0.064892,0.170613,0.059957,0.088935,0.120108,0.104714,0.034869
123,0.000000,0.163273,0.077763,0.102966,0.047144,0.168305,0.037673,0.079462,0.161188,0.104631,0.030997
124,0.000000,0.148833,0.089454,0.085487,0.041873,0.129981,0.067697,0.091526,0.130441,0.105526,0.051815
125,0.000000,0.116816,0.081534,0.079592,0.046588,0.055813,0.080816,0.143538,0.089625,0.072042,0.018662
126,0.000000,0.098340,0.089149,0.098727,0.041946,0.089178,0.085771,0.099383,0.124587,0.078961,0.019289
127,0.000000,0.089705,0.076740,0.076108,0.035332,0.088872,0.052810,0.069376,0.096429,0.086949,0.033186
128,0.000000,0.123665,0.070688,0.081584,0.085537,0.084991,0.049025,0.102455,0.085330,0.089387,0.038959
129,0.000000,0.079745,0.102892,0.110567,0.077295,0.065549,0.038432,0.088790,0.070405,0.118802,0.042058
130,0.000000,0.143017,0.094073,0.142558,0.044102,0.080419,0.068248,0.073974,0.096106,0.080750,0.038082
131,0.000000,0.085850,0.064396,0.129026,0.058264,0.108864,0.080698,0.092232,0.116633,0.137237,0.059502
132,0.000000,0.055871,0.112479,0.200646,0.043629,0.091634,0.099134,0.132914,0.164147,0.124329,0.039824
133,0.000000,0.055970,0.073241,0.107534,0.043797,0.083372,0.058522,0.153901,0.109646,0.127771,0.040617
134,0.000000,0.049058,0.069133,0.169194,0.052118,0.084843,0.042709,0.099959,0.110226,0.114480,0.046355
135,0.000000,0.058488,0.043777,0.139925,0.046845,0.066671,0.062917,0.134268,0.124603,0.085691,0.034400
136,0.000000,0.054207,0.072863,0.190458,0.026949,0.077833,0.081516,0.120015,0.204784,0.099928,0.039228
137,0.000000,0.061674,0.088575,0.177949,0.070269,0.057430,0.053986,0.076694,0.073003,0.090097,0.033359
138,0.000000,0.119969,0.069490,0.199649,0.082393,0.063680,0.094214,0.110729,0.115434,0.081546,0.024876
139,0.000000,0.118886,0.097030,0.264148,0.091815,0.116527,0.112294,0.109444,0.080284,0.084141,0.018474
140,0.000000,0.112348,0.102190,0.237762,0.066538,0.097971,0.083910,0.124904,0.079913,0.083921,0.020216
141,0.000000,0.088350,0.068590,0.350383,0.055866,0.131051,0.111598,0.149245,0.096183,0.069325,0.031270
142,0.000000,0.100306,0.046885,0.211887,0.113209,0.095702,0.138452,0.149718,0.170512,0.067697,0.043884
143,0.000000,0.108933,0.064676,0.202452,0.138609,0.059931,0.083970,0.099470,0.123378,0.090316,0.032344
144,0.000000,0.077792,0.071530,0.223476,0.143118,0.110550,0.152589,0.041339,0.140756,0.130402,0.053071
145,0.000000,0.102429,0.032161,0.236275,0.089303,0.042891,0.075740,0.048850,0.244297,0.102104,0.088107
146,0.000000,0.057277,0.052662,0.318774,0.079545,0.098173,0.081887,0.075979,0.109350,0.096958,0.070479
147,0.000000,0.075465,0.036625,0.208279,0.114633,0.072237,0.067478,0.045397,0.134370,0.113985,0.049691
148,0.000000,0.076319,0.049540,0.221132,0.094526,0.046735,0.042897,0.036789,0.256643,0.100524,0.025955
149,0.000000,0.073511,0.097752,0.149476,0.130478,0.099161,0.057575,0.083219,0.093463,0.077025,0.053503
150,0.000000,0.080297,0.104698,0.185179,0.064270,0.090448,0.052113,0.053416,0.138855,0.097405,0.034273
151,0.000000,0.097978,0.088052,0.187123,0.115825,0.147187,0.083651,0.160174,0.120615,0.068307,0.044376
152,0.000000,0.069650,0.077527,0.201638,0.067581,0.048508,0.125841,0.098586,0.095501,0.097672,0.077579
153,0.000000,0.081079,0.074405,0.206335,0.091759,0.083977,0.125651,0.124437,0.074680,0.169797,0.045302
154,0.000000,0.085368,0.126492,0.243697,0.059452,0.081473,0.110213,0.079841,0.046942,0.133070,0.043494
155,0.000000,0.083672,0.121567,0.222318,0.048128,0.063210,0.135507,0.069233,0.046547,0.092331,0.039607
156,0.000000,0.064787,0.055071,0.121189,0.097290,0.076854,0.112566,0.066176,0.087985,0.138180,0.046387
157,0.000000,0.097624,0.172938,0.149698,0.075864,0.047029,0.082911,0.064139,0.104966,0.187842,0.031404
158,0.000000,0.103104,0.177957,0.138038,0.084737,0.122201,0.084951,0.067881,0.209491,0.214179,0.064708
159,0.000000,0.121767,0.093984,0.211603,0.070411,0.142749,0.088792,0.060144,0.119515,0.176190,0.046647
160,0.000000,0.154026,0.193029,0.142355,0.050211,0.088864,0.076730,0.056262,0.114492,0.154266,0.031743
161,0.000000,0.135223,0.125989,0.131714,0.085104,0.050257,0.067269,0.064374,0.154890,0.137542,0.071917
162,0.000000,0.064533,0.133286,0.213158,0.061620,0.096815,0.080464,0.057770,0.197863,0.132647,0.033709
163,0.000000,0.075742,0.125918,0.139262,0.111512,0.092871,0.084846,0.030624,0.184153,0.122891,0.035925
164,0.000000,0.180387,0.089240,0.151369,0.062866,0.101864,0.074297,0.046179,0.155268,0.178233,0.055582
165,0.000000,0.056106,0.148908,0.099833,0.039591,0.148770,0.073053,0.043646,0.170253,0.098611,0.098765
166,0.000000,0.128220,0.129541,0.155193,0.066037,0.154180,0.126168,0.044575,0.137898,0.124954,0.045529
167,0.000000,0.178632,0.156183,0.166087,0.040618,0.118106,0.080795,0.062511,0.132065,0.105707,0.062126
168,0.000000,0.061200,0.146010,0.192622,0.070088,0.143991,0.109115,0.064885,0.141262,0.076002,0.071818
169,0.000000,0.075186,0.105128,0.192139,0.061011,0.119423,0.254519,0.041176,0.127915,0.088133,0.061473
170,0.000000,0.088120,0.170950,0.116639,0.110251,0.100633,0.131281,0.074157,0.144614,0.132801,0.065747
171,0.000000,0.086760,0.155454,0.136137,0.050963,0.111985,0.162139,0.066659,0.217499,0.182995,0.061479
172,0.000000,0.140254,0.156291,0.134180,0.068433,0.115558,0.093920,0.034926,0.101070,0.089736,0.029810
173,0.000000,0.079194,0.134877,0.107503,0.051271,0.130829,0.094313,0.037363,0.129928,0.087441,0.015071
174,0.000000,0.051290,0.089605,0.145986,0.094577,0.101220,0.088828,0.047448,0.156169,0.154657,0.018465
175,0.000000,0.055966,0.122901,0.182252,0.075297,0.090438,0.096757,0.049306,0.104221,0.150060,0.022934
176,0.000000,0.060404,0.117233,0.287451,0.083517,0.111351,0.099573,0.042311,0.140969,0.096238,0.027712
177,0.000000,0.090123,0.141633,0.158848,0.072003,0.114772,0.073185,0.041898,0.073732,0.101311,0.026307
